ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C10-195       1097.50    1098.00    1097.75      65.61     -59.57    -464.15      12.42
C11-005       1102.00    1102.50    1102.25      66.09     -60.00    -466.64      13.36
C11-010       1104.50    1105.00    1104.75      66.36     -59.40    -460.59      14.61
C11-015       1107.00    1107.50    1107.25      66.63     -59.96    -465.60      14.08
C11-020       1109.50    1110.00    1109.75      66.89     -59.71    -462.60      15.08
C11-025       1112.00    1112.50    1112.25      67.17     -60.22    -466.71      15.05
C11-030       1114.50    1115.00    1114.75      67.44     -59.09    -458.61      14.11
C11-035       1117.00    1117.50    1117.25      67.72     -60.50    -468.55      15.45
C11-040       1119.50    1120.00    1119.75      68.00     -59.75    -463.44      14.56
C11-045       1122.00    1122.50    1122.25      68.27     -59.64    -462.33      14.79
C11-050       1124.52    1125.00    1124.76      68.53     -59.42    -462.01      13.35
C11-055       1127.00    1127.50    1127.25      68.79     -59.70    -461.87      15.73
C11-060       1129.45    1129.97    1129.71      69.05     -59.76    -462.65      15.43
C11-065       1132.00    1132.50    1132.25      69.33     -59.67    -461.09      16.28
C11-070       1134.50    1135.00    1134.75      69.61     -59.88    -463.67      15.37
C11-075       1137.00    1137.50    1137.25      69.88     -59.69    -460.38      17.14
C11-080       1139.50    1140.00    1139.75      70.15     -60.14    -463.95      17.17
BC11-085      1142.00    1142.50    1142.25      70.41     -58.92    -455.73      15.61
C11-090       1144.50    1145.00    1144.75      70.67     -59.35    -458.14      16.66
C11-095       1147.00    1147.50    1147.25      70.91     -58.58    -451.53      17.11
C11-100       1149.50    1150.00    1149.75      71.14     -58.26    -451.08      15.00
C11-105       1152.00    1152.50    1152.25      71.38     -58.78    -453.85      16.39
C11-110       1154.50    1155.00    1154.75      71.63     -59.09    -457.07      15.65
C11-115       1157.00    1157.50    1157.25      71.87     -59.56    -458.76      17.72
C11-120       1159.50    1160.00    1159.75      72.11     -58.66    -453.23      16.06
C11-125       1162.04    1162.54    1162.29      72.37     -58.64    -453.39      15.73
C11-130       1164.50    1164.95    1164.73      72.62     -59.58    -461.03      15.61
C11-135       1167.00    1167.50    1167.25      72.89     -59.51    -460.64      15.45
C11-140       1169.50    1170.00    1169.75      73.16     -59.25    -456.24      17.76
C11-145       1172.00    1172.50    1172.25      73.41     -57.98    -447.95      15.89
C11-150       1174.50    1175.00    1174.75      73.65     -58.12    -448.59      16.37
C11-155       1177.00    1177.50    1177.25      73.90     -58.94    -455.23      16.29
B11-158       1178.47    1178.98    1178.73      74.05     -58.21    -449.40      16.24
C11-165       1182.00    1182.49    1182.25      74.38     -58.81    -454.11      16.37
C11-170       1184.50    1185.00    1184.75      74.62     -57.53    -446.44      13.80
C11-175       1187.00    1187.50    1187.25      74.85     -57.93    -448.38      15.06
C11-180       1189.50    1190.00    1189.75      75.07     -57.56    -444.65      15.83
C11-185       1192.00    1192.50    1192.25      75.30     -57.91    -448.55      14.74
C11-190       1194.50    1195.00    1194.75      75.54     -58.52    -453.10      15.06
BC11-193      1196.00    1196.50    1196.25      75.69     -57.51    -445.56      14.51
C11-200       1199.50    1200.00    1199.75      76.04     -57.47    -443.81      15.95
C12-003       1201.00    1201.50    1201.25      76.19     -58.38    -451.69      15.35
BC12-005      1202.00    1202.50    1202.25      76.29     -59.56    -460.16      16.32
C12-010       1204.50    1205.00    1204.75      76.55     -59.11    -457.49      15.39
C12-015       1207.00    1207.50    1207.25      76.81     -57.51    -444.43      15.65
B12-019       1209.00    1209.50    1209.25      77.01     -57.23    -442.46      15.36
C12-025       1212.00    1212.50    1212.25      77.31     -58.06    -449.56      14.92
C12-030       1214.50    1215.00    1214.75      77.56     -58.29    -451.48      14.84
C12-035       1217.00    1217.50    1217.25      77.81     -57.77    -447.22      14.94
C12-040       1219.50    1220.00    1219.75      78.06     -58.53    -453.76      14.49
C12-045       1222.00    1222.50    1222.25      78.31     -59.10    -457.75      15.05
C12-050       1224.50    1225.00    1224.75      78.56     -58.33    -450.99      15.65
C12-055       1227.00    1227.50    1227.25      78.81     -57.68    -446.80      14.64
C12-60        1229.50    1230.00    1229.75      79.05     -57.67    -445.46      15.90
C12-065       1232.04    1232.50    1232.27      79.30     -58.53    -453.01      15.23
C12-070       1234.50    1235.00    1234.75      79.53     -57.92    -448.29      15.07
BC12-075      1236.98    1237.49    1237.24      79.76     -57.90    -447.84      15.34
C12-80        1239.50    1240.00    1239.75      80.00     -57.07    -441.44      15.12
C12-085       1242.00    1242.50    1242.25      80.23     -57.89    -447.83      15.29
C12-090       1244.50    1245.00    1244.75      80.46     -57.12    -443.14      13.82
C12-095       1246.99    1247.50    1247.25      80.69     -57.11    -441.03      15.85
C12-100       1249.50    1250.00    1249.75      80.91     -57.05    -440.63      15.77
C12-105       1252.04    1252.48    1252.26      81.13     -56.61    -436.84      16.04
C12-110       1254.50    1255.00    1254.75      81.34     -56.69    -439.91      13.61
C12-115       1257.00    1257.50    1257.25      81.56     -57.22    -442.37      15.39
C12-120       1259.50    1260.00    1259.75      81.79     -57.17    -442.70      14.66
C12-125       1262.00    1262.50    1262.25      82.02     -56.89    -438.97      16.15
C12-130       1264.50    1265.00    1264.75      82.27     -57.17    -442.86      14.50
C12-135       1267.00    1267.50    1267.25      82.52     -56.19    -435.29      14.24
C12-140       1269.50    1270.00    1269.75      82.77     -57.25    -443.77      14.23
C12-145       1272.00    1272.50    1272.25      83.01     -56.49    -439.07      12.85
C12-150       1274.50    1275.00    1274.75      83.25     -57.27    -443.70      14.46
C12-155       1277.00    1277.50    1277.25      83.48     -55.60    -429.28      15.52
C12-160       1279.50    1280.00    1279.75      83.72     -56.48    -436.22      15.62
C12-165       1282.00    1282.50    1282.25      83.94     -56.31    -435.94      14.54
C12-170       1284.50    1285.00    1284.75      84.17     -55.84    -434.04      12.68
C12-175       1287.00    1287.50    1287.25      84.41     -56.29    -435.32      15.00
C12-180       1289.50    1290.00    1289.75      84.63     -56.08    -433.98      14.66
C12-185       1292.00    1292.50    1292.25      84.86     -55.76    -431.45      14.63
C12-190       1294.47    1294.99    1294.73      85.08     -56.12    -435.56      13.40
C12-195       1297.00    1297.51    1297.26      85.32     -56.79    -440.15      14.17
C12-200       1299.50    1300.00    1299.75      85.55     -56.00    -433.14      14.87
C13-003       1301.00    1301.52    1301.26      85.69     -55.96    -434.05      13.63
C13-010       1304.50    1304.98    1304.74      86.03     -56.18    -436.02      13.42
BC13-015      1307.00    1307.50    1307.25      86.28     -56.93    -441.51      13.94
C13-20        1309.50    1310.00    1309.75      86.53     -56.81    -439.73      14.75
C13-025       1312.00    1312.50    1312.25      86.79     -57.13    -442.52      14.52
C13-030       1314.50    1315.00    1314.75      87.06     -57.78    -448.32      13.92
C13-035       1317.00    1317.50    1317.25      87.33     -56.95    -440.32      15.28
C13-40        1319.53    1320.00    1319.76      87.60     -57.81    -448.67      13.81
C13-045       1322.02    1322.54    1322.28      87.87     -57.48    -444.32      15.52
C13-050       1324.50    1324.99    1324.74      88.15     -56.96    -442.88      12.80
C13-053       1326.02    1326.54    1326.28      88.32     -57.31    -444.89      13.59
C13-060       1329.52    1330.04    1329.78      88.72     -57.87    -447.95      15.02
C13-065       1332.00    1332.50    1332.25      89.01     -57.65    -447.69      13.51
C13-070       1334.50    1335.00    1334.75      89.29     -57.54    -447.13      13.19
C13-075       1336.97    1337.48    1337.23      89.57     -57.94    -447.93      15.59
C13-80        1339.50    1340.00    1339.75      89.88     -59.26    -459.54      14.54
C13-085       1342.00    1342.50    1342.25      90.20     -58.40    -451.15      16.05
C13-090       1344.50    1345.00    1344.75      90.51     -58.79    -456.75      13.57
C13-095       1347.00    1347.50    1347.25      90.81     -57.98    -449.22      14.62
C13-105       1352.00    1352.50    1352.25      91.41     -58.46    -453.49      14.19
C13-110       1354.50    1355.02    1354.76      91.71     -58.52    -452.95      15.21
C13-115       1357.00    1357.48    1357.24      92.01     -59.02    -456.04      16.12
C13-120       1359.50    1360.00    1359.75      92.31     -57.27    -443.65      14.51
C13-130       1364.50    1365.00    1364.75      92.90     -58.48    -452.79      15.05
C13-135       1366.97    1367.49    1367.23      93.20     -58.50    -452.29      15.71
C13-140       1369.50    1370.00    1369.75      93.50     -57.22    -442.94      14.82
C13-145       1372.00    1372.50    1372.25      93.80     -57.66    -446.67      14.61
C13-150       1374.51    1375.04    1374.77      94.10     -57.66    -446.01      15.27
C13-155       1377.00    1377.48    1377.24      94.35     -56.58    -437.31      15.33
C13-160       1379.50    1380.00    1379.75      94.57     -58.53    -451.85      16.39
C13-165       1382.00    1382.50    1382.25      94.78     -58.20    -450.70      14.90
C13-170       1384.50    1385.00    1384.75      94.99     -57.70    -446.58      15.02
C13-175       1387.00    1387.50    1387.25      95.20     -58.06    -450.01      14.48
C13-180       1389.50    1390.00    1389.75      95.41     -57.62    -448.18      12.78
C13-185       1392.00    1392.50    1392.25      95.63     -58.43    -452.94      14.51
C13-190       1394.52    1395.00    1394.76      95.84     -57.82    -447.64      14.92
C13-195       1397.00    1397.52    1397.26      96.05     -58.18    -448.99      16.45
C13-200       1399.50    1400.00    1399.75      96.25     -57.19    -442.73      14.79
C14-005       1402.00    1402.50    1402.25      96.47     -57.33    -443.38      15.26
BC14-010      1404.50    1405.00    1404.75      96.68     -57.90    -448.55      14.62
C14-015       1407.00    1407.50    1407.25      96.90     -58.13    -448.52      16.52
C14-020       1409.49    1410.00    1409.74      97.11     -57.14    -442.53      14.59
C14-025       1412.00    1412.50    1412.25      97.32     -57.05    -440.24      16.16
C14-030       1414.50    1415.00    1414.75      97.52     -57.35    -444.55      14.25
C14-035       1417.00    1417.50    1417.25      97.73     -56.66    -437.33      15.95
C14-040       1419.50    1420.00    1419.75      97.94     -57.98    -448.64      15.20
C14-045       1422.00    1422.50    1422.25      98.16     -56.57    -437.09      15.47
C14-050       1424.50    1425.00    1424.75      98.37     -57.72    -446.95      14.81
C14-055       1427.00    1427.50    1427.25      98.58     -57.50    -444.17      15.83
C14-60        1429.50    1430.00    1429.75      98.79     -56.87    -439.18      15.78
C14-065       1432.00    1432.50    1432.25      99.01     -57.56    -445.71      14.77
C14-070       1434.50    1435.00    1434.75      99.22     -57.70    -446.52      15.08
C14-075       1437.00    1437.50    1437.25      99.43     -57.22    -443.03      14.73
C14-80        1439.50    1440.00    1439.75      99.64     -56.94    -440.02      15.50
C14-085       1442.00    1442.50    1442.25      99.85     -57.60    -443.69      17.11
C14-090       1444.50    1445.00    1444.75     100.06     -57.05    -441.45      14.95
C14-095       1447.00    1447.50    1447.25     100.26     -56.12    -434.51      14.45
C14-100       1449.50    1450.00    1449.75     100.46     -56.01    -433.78      14.31
C14-105       1452.00    1452.50    1452.25     100.66     -57.17    -441.90      15.46
C14-110       1454.50    1455.00    1454.75     100.86     -56.50    -437.37      14.63
C14-115       1457.00    1457.50    1457.25     101.06     -56.71    -440.21      13.47
C14-120       1459.50    1460.00    1459.75     101.26     -57.01    -441.07      15.01
C14-125       1462.00    1462.50    1462.25     101.46     -56.10    -433.23      15.57
C14-130       1464.50    1465.00    1464.75     101.66     -56.64    -439.15      13.97
C14-135       1467.00    1467.50    1467.25     101.87     -56.92    -443.09      12.27
C14-140       1469.50    1470.00    1469.75     102.08     -56.30    -435.33      15.07
C14-145       1472.00    1472.50    1472.25     102.28     -56.99    -441.19      14.73
C14-150       1474.50    1475.00    1474.75     102.48     -56.84    -440.17      14.55
C14-155       1477.02    1477.50    1477.26     102.69     -57.17    -442.51      14.85
C14-160       1479.50    1480.00    1479.75     102.89     -57.07    -441.44      15.13
C14-163       1481.00    1481.50    1481.25     103.01     -56.72    -438.24      15.52
C14-170       1484.50    1485.00    1484.75     103.30     -56.73    -437.56      16.28
C14-175       1487.00    1487.49    1487.25     103.50     -56.45    -437.22      14.38
C14-180       1489.50    1490.00    1489.75     103.69     -56.49    -435.47      16.45
C14-185       1492.00    1492.50    1492.25     103.89     -56.79    -439.69      14.63
C14-190       1494.50    1495.00    1494.75     104.09     -56.16    -434.55      14.73
C14-195       1497.00    1497.49    1497.24     104.30     -56.25    -435.93      14.07
C14-200       1499.50    1500.00    1499.75     104.50     -57.53    -445.03      15.21
C15-005       1502.00    1502.50    1502.25     104.71     -56.66    -440.69      12.59
C15-010       1504.50    1505.00    1504.75     104.93     -57.08    -441.86      14.78
C15-015       1507.00    1507.50    1507.25     105.14     -57.44    -445.30      14.22
C15-20        1509.50    1510.00    1509.75     105.37     -57.38    -442.54      16.50
C15-025       1512.00    1512.50    1512.25     105.61     -58.66    -452.19      17.09
C15-030       1514.50    1515.00    1514.75     105.85     -58.07    -449.17      15.39
C15-035       1517.00    1517.50    1517.25     106.09     -57.96    -448.29      15.39
C15-040       1519.50    1520.00    1519.75     106.33     -57.86    -445.51      17.38
C15-045       1522.00    1522.50    1522.25     106.60     -57.56    -443.10      17.38
C15-050       1524.48    1525.00    1524.74     106.87     -57.45    -443.89      15.71
C15-055       1527.05    1527.53    1527.29     107.15     -56.75    -436.73      17.27
C15-060       1529.50    1530.00    1529.75     107.41     -56.88    -439.61      15.43
C15-065       1531.96    1532.48    1532.22     107.67     -57.98    -447.53      16.31
C15-070       1534.50    1535.00    1534.75     107.94     -57.26    -441.86      16.22
C15-075       1537.00    1537.50    1537.25     108.21     -57.78    -445.97      16.27
C15-80        1539.50    1540.00    1539.75     108.48     -57.48    -443.99      15.85
C15-085       1542.00    1542.50    1542.25     108.75     -56.41    -434.93      16.35
C15-090       1544.50    1545.00    1544.75     109.01     -57.20    -441.45      16.15
C15-095       1547.00    1547.50    1547.25     109.27     -57.37    -442.87      16.10
C15-100       1549.50    1550.00    1549.75     109.55     -57.84    -445.71      17.01
C15-105       1552.00    1552.50    1552.25     109.84     -57.28    -443.49      14.75
C15-110       1554.50    1555.00    1554.75     110.13     -57.57    -446.18      14.38
C15-115       1557.00    1557.50    1557.25     110.43     -59.10    -456.59      16.21
C15-120       1559.50    1560.00    1559.75     110.74     -58.00    -447.69      16.31
C15-125       1562.00    1562.50    1562.25     111.05     -58.87    -454.06      16.90
C15-130       1564.50    1565.00    1564.75     111.39     -59.03    -457.22      15.02
C15-135       1567.00    1567.50    1567.25     111.73     -59.55    -459.14      17.26
C15-140       1569.50    1570.00    1569.75     112.07     -59.19    -457.19      16.33
C15-145       1572.00    1572.50    1572.25     112.42     -59.72    -459.72      18.04
C15-150       1574.50    1575.00    1574.75     112.77     -58.92    -454.32      17.04
C15-155       1577.00    1577.50    1577.25     113.10     -59.10    -454.43      18.37
C15-160       1579.50    1580.00    1579.75     113.43     -58.73    -452.70      17.14
C15-165       1582.00    1582.50    1582.25     113.77     -58.30    -452.66      13.74
C15-170       1584.50    1585.00    1584.75     114.10     -59.05    -453.76      18.64
C15-175       1587.00    1587.50    1587.25     114.44     -58.78    -452.10      18.14
C15-180       1589.50    1590.00    1589.75     114.78     -57.94    -445.30      18.22
C15-185       1591.99    1592.50    1592.25     115.11     -58.91    -454.35      16.93
C15-190       1594.50    1595.00    1594.75     115.45     -58.70    -452.82      16.78
C15-195       1597.00    1597.50    1597.25     115.79     -58.84    -454.05      16.67
BC15-200      1599.50    1600.00    1599.75     116.12     -58.44    -449.79      17.73
B16-004       1601.50    1602.00    1601.75     116.39     -58.61    -451.25      17.64
C16-010       1604.50    1605.00    1604.75     116.79     -58.31    -449.76      16.72
C16-015       1607.00    1607.50    1607.25     117.12     -57.60    -444.90      15.90
C16-020       1609.50    1610.00    1609.75     117.43     -58.15    -447.20      18.00
C16-025       1612.00    1612.50    1612.25     117.74     -58.31    -450.19      16.29
C16-030       1614.50    1615.00    1614.75     118.04     -58.05    -447.63      16.77
C16-035       1617.00    1617.50    1617.25     118.35     -58.06    -448.93      15.55
C16-040       1619.50    1620.00    1619.75     118.65     -57.76    -444.19      17.89
C16-045       1622.02    1622.50    1622.26     118.94     -57.05    -441.30      15.10
C16-050       1624.50    1625.00    1624.75     119.22     -57.30    -441.85      16.55
C16-055       1627.00    1627.51    1627.25     119.50     -56.66    -439.65      13.63
C16-060       1629.50    1630.00    1629.75     119.79     -57.08    -438.15      18.49
C16-065       1632.00    1632.50    1632.25     120.07     -56.98    -437.63      18.21
C16-070       1634.50    1635.00    1634.75     120.34     -56.79    -438.42      15.90
C16-075       1637.00    1637.50    1637.25     120.61     -56.68    -435.97      17.48
C16-80        1639.50    1639.99    1639.74     120.88     -56.07    -431.02      17.54
C16-085       1642.01    1642.50    1642.26     121.14     -56.00    -430.64      17.36
C16-090       1644.50    1645.00    1644.75     121.40     -55.70    -429.06      16.54
C16-095       1647.00    1647.50    1647.25     121.66     -56.69    -437.16      16.36
C16-100       1649.50    1650.00    1649.75     121.91     -56.24    -433.21      16.71
C16-105       1652.00    1652.50    1652.25     122.16     -54.76    -422.76      15.32
C16-110       1654.50    1655.00    1654.75     122.40     -55.31    -426.91      15.57
C16-115       1657.00    1657.50    1657.25     122.65     -55.02    -425.25      14.91
C16-120       1659.50    1660.00    1659.75     122.90     -55.13    -426.77      14.27
C16-125       1662.00    1662.50    1662.25     123.14     -55.49    -428.03      15.89
C16-130       1664.50    1665.00    1664.75     123.38     -55.38    -427.41      15.63
C16-135       1667.00    1667.50    1667.25     123.61     -54.93    -423.73      15.71
C16-140       1669.50    1670.00    1669.75     123.85     -55.17    -423.30      18.06
C16-145       1672.00    1672.50    1672.25     124.08     -54.76    -423.24      14.84
C16-150       1674.51    1675.00    1674.76     124.30     -54.34    -419.56      15.16
C16-155       1677.00    1677.50    1677.25     124.53     -54.11    -421.11      11.77
C16-160       1679.50    1680.00    1679.75     124.75     -54.06    -417.29      15.19
C16-165       1682.00    1682.50    1682.25     124.96     -53.92    -417.31      14.06
C16-170       1684.50    1685.00    1684.75     125.18     -54.69    -422.74      14.78
C16-175       1687.00    1687.50    1687.25     125.40     -53.34    -414.94      11.78
BC16-180      1689.50    1690.00    1689.75     125.62     -54.27    -420.24      13.88
C16-185       1692.01    1692.50    1692.26     125.84     -53.25    -412.60      13.40
C16-190       1694.50    1695.00    1694.75     126.05     -53.51    -413.56      14.52
C16-195       1697.00    1697.50    1697.25     126.28     -54.54    -422.66      13.66
C16-200       1699.50    1700.00    1699.75     126.50     -54.06    -419.16      13.33
C17-005       1702.00    1702.50    1702.25     126.69     -53.14    -410.52      14.61
C17-010       1704.50    1705.00    1704.75     126.89     -53.99    -416.79      15.13
C17-015       1707.00    1707.50    1707.25     127.09     -53.61    -415.36      13.52
C17-20        1709.50    1710.01    1709.76     127.28     -53.45    -413.13      14.47
C17-025       1712.04    1712.50    1712.27     127.48     -54.08    -418.91      13.73
C17-030       1714.50    1715.00    1714.75     127.67     -53.52    -415.27      12.89
C17-035       1717.00    1717.50    1717.25     127.86     -53.30    -413.78      12.62
C17-40        1719.50    1720.00    1719.75     128.05     -53.97    -416.43      15.34
C17-045       1722.00    1722.50    1722.25     128.25     -52.76    -411.04      11.04
C17-050       1724.50    1725.00    1724.75     128.44     -53.55    -415.02      13.38
C17-055       1727.00    1727.50    1727.25     128.64     -54.10    -419.36      13.45
C17-60        1729.50    1730.00    1729.75     128.84     -53.57    -414.17      14.39
C17-065       1732.00    1732.48    1732.24     129.03     -53.71    -417.99      11.69
C17-070       1734.50    1735.00    1734.75     129.23     -53.88    -418.25      12.79
C17-075       1737.02    1737.50    1737.26     129.43     -53.04    -411.90      12.42
C17-080       1739.50    1740.00    1739.75     129.61     -52.17    -403.80      13.56
C17-085       1742.00    1742.50    1742.25     129.79     -52.54    -406.82      13.50
C17-090       1744.50    1745.02    1744.76     129.97     -52.21    -405.70      11.98
C17-095       1747.00    1747.50    1747.25     130.14     -51.83    -401.87      12.77
C17-100       1749.50    1750.00    1749.75     130.31     -51.61    -399.42      13.46
C17-102       1750.50    1751.00    1750.75     130.38     -52.03    -404.90      11.34
C17-110       1754.50    1755.00    1754.75     130.64     -51.23    -398.73      11.11
C17-115       1757.00    1757.50    1757.25     130.81     -51.70    -401.18      12.42
C17-120       1759.50    1760.00    1759.75     130.97     -51.85    -403.01      11.79
BC17-125      1762.00    1762.50    1762.25     131.14     -51.24    -399.15      10.78
C17-130       1764.50    1765.00    1764.75     131.31     -51.77    -403.22      10.94
C17-135       1767.00    1767.50    1767.25     131.48     -51.09    -397.25      11.47
C17-140       1769.50    1770.00    1769.75     131.65     -51.66    -400.62      12.66
C17-145       1772.00    1772.50    1772.25     131.82     -52.05    -404.89      11.51
C17-150       1774.50    1775.00    1774.75     131.99     -51.45    -400.24      11.36
C17-155       1777.00    1777.46    1777.23     132.16     -51.61    -400.33      12.55
C17-160       1779.47    1779.99    1779.73     132.34     -52.60    -407.19      13.61
C17-165       1782.00    1782.50    1782.25     132.53     -52.95    -411.72      11.88
C17-170       1784.50    1785.00    1784.75     132.73     -53.50    -416.22      11.78
C17-174       1786.50    1787.00    1786.75     132.89     -53.40    -416.76      10.44
BC17-179      1789.00    1789.50    1789.25     133.10     -54.04    -420.64      11.69
C17-184       1791.52    1792.00    1791.76     133.32     -54.47    -424.76      11.00
C17-190       1794.50    1795.00    1794.75     133.59     -55.05    -428.53      11.87
C17-194       1796.50    1797.00    1796.75     133.79     -54.39    -424.25      10.87
C17-200       1799.40    1799.90    1799.65     134.08     -55.18    -430.47      10.98
C18-006       1802.46    1802.98    1802.72     134.41     -55.32    -432.20      10.36
C18-010       1804.50    1805.00    1804.75     134.63     -56.82    -442.80      11.76
C18-012       1805.50    1806.00    1805.75     134.74     -56.04    -436.03      12.29
C18-015       1807.00    1807.50    1807.25     134.92     -56.52    -441.44      10.72
C18-017       1808.00    1808.50    1808.25     135.03     -56.38    -440.92      10.12
C18-020       1809.50    1810.00    1809.75     135.21     -56.89    -444.26      10.86
C18-022       1810.50    1811.00    1810.75     135.33     -56.32    -438.71      11.85
C18-025       1812.00    1812.50    1812.25     135.50     -56.75    -441.75      12.25
C18-027       1813.00    1813.50    1813.25     135.63     -57.80    -451.38      11.03
C18-032       1815.50    1816.00    1815.75     135.97     -58.71    -456.42      13.26
C18-035       1817.00    1817.50    1817.25     136.19     -58.17    -451.47      13.89
C18-037       1818.00    1818.46    1818.23     136.33     -57.65    -450.98      10.22
C18-040       1819.50    1820.00    1819.75     136.55     -59.02    -457.02      15.14
C18-042       1820.50    1821.00    1820.75     136.70     -58.25    -455.06      10.95
C18-045       1822.00    1822.50    1822.25     136.93     -59.28    -460.81      13.43
C18-047       1823.00    1823.50    1823.25     137.09     -58.61    -457.46      11.42
C18-050       1824.50    1825.00    1824.75     137.32     -58.79    -457.92      12.40
C18-052       1825.50    1826.02    1825.76     137.47     -58.10    -453.80      11.00
C18-055       1827.02    1827.50    1827.26     137.72     -58.71    -455.86      13.82
C18-057       1828.00    1828.50    1828.25     137.88     -57.90    -452.03      11.17
C18-060       1829.50    1830.01    1829.76     138.12     -59.32    -461.48      13.08
C18-062       1830.50    1831.00    1830.75     138.29     -59.18    -461.11      12.33
C18-065       1832.00    1832.50    1832.25     138.53     -58.98    -457.45      14.39
C18-067       1833.00    1833.50    1833.25     138.70     -59.45    -462.25      13.36
C18-070       1834.50    1835.00    1834.75     138.94     -59.30    -461.60      12.80
C18-072       1835.50    1836.00    1835.75     139.11     -58.61    -458.48      10.41
C18-075       1837.00    1837.50    1837.25     139.36     -59.46    -464.70      10.98
C18-077       1838.00    1838.50    1838.25     139.53     -59.39    -462.71      12.41
C18-080       1839.50    1840.00    1839.75     139.79     -59.10    -459.98      12.82
C18-082       1840.50    1841.00    1840.75     139.97     -59.31    -461.14      13.34
C18-085       1842.00    1842.50    1842.25     140.23     -59.90    -466.02      13.18
C18-087       1843.00    1843.50    1843.25     140.40     -59.88    -466.07      12.97
C18-090       1844.50    1845.00    1844.75     140.66     -59.58    -464.12      12.52
C18-092       1845.50    1846.00    1845.75     140.84     -59.69    -464.08      13.44
C18-095       1847.00    1847.50    1847.25     141.09     -59.88    -464.70      14.34
C18-097       1848.00    1848.50    1848.25     141.26     -59.24    -461.79      12.13
C18-100       1849.50    1850.03    1849.76     141.53     -59.59    -462.48      14.24
C18-102       1850.50    1851.00    1850.75     141.71     -59.34    -463.12      11.60
C18-105       1852.00    1852.50    1852.25     141.97     -59.01    -458.69      13.39
C18-107       1853.00    1853.50    1853.25     142.15     -59.03    -460.44      11.80
C18-110       1854.50    1855.00    1854.75     142.42     -59.55    -463.78      12.62
C18-112       1855.50    1856.00    1855.75     142.60     -58.99    -460.13      11.79
C18-115       1857.00    1857.50    1857.25     142.86     -59.07    -459.60      12.96
C18-117       1858.00    1858.50    1858.25     143.04     -59.21    -461.11      12.57
C18-120       1859.50    1860.00    1859.75     143.30     -59.68    -465.87      11.57
C18-122       1860.50    1861.00    1860.75     143.47     -58.41    -454.71      12.58
C18-125       1862.00    1862.50    1862.25     143.73     -59.74    -463.36      14.56
C18-127       1863.00    1863.50    1863.25     143.90     -59.71    -463.57      14.11
C18-130       1864.50    1865.00    1864.75     144.15     -58.82    -457.42      13.14
C18-132       1865.50    1866.00    1865.75     144.32     -59.03    -459.61      12.63
C18-135       1867.00    1867.50    1867.25     144.57     -59.07    -457.85      14.71
C18-137       1868.00    1868.50    1868.25     144.74     -59.22    -461.42      12.34
C18-140       1869.50    1870.00    1869.75     145.00     -58.87    -457.91      13.05
c18-142       1870.50    1871.00    1870.75     145.16     -59.32    -460.77      13.79
C18-145       1872.00    1872.50    1872.25     145.42     -59.66    -464.03      13.25
c18-148       1873.50    1874.00    1873.75     145.68     -58.65    -454.85      14.35
C18-150       1874.50    1875.00    1874.75     145.85     -58.88    -458.46      12.58
C18-152       1875.50    1876.00    1875.75     146.02     -58.70    -456.72      12.88
C18-155       1877.00    1877.50    1877.25     146.28     -59.45    -462.62      12.98
C18-157       1878.00    1878.50    1878.25     146.45     -59.05    -459.43      12.97
C18-160       1879.50    1880.00    1879.75     146.71     -59.34    -461.34      13.38
c18-162       1880.50    1881.00    1880.75     146.89     -59.60    -461.52      15.28
C18-165       1882.00    1882.50    1882.25     147.17     -58.68    -454.68      14.76
c18-167       1883.00    1883.50    1883.25     147.34     -58.65    -455.93      13.27
C18-170       1884.50    1885.00    1884.75     147.61     -58.65    -456.20      13.00
C18-172       1885.50    1886.00    1885.75     147.78     -58.63    -454.39      14.65
c18-175       1887.00    1887.50    1887.25     148.04     -58.67    -456.64      12.72
C18-177       1888.00    1888.50    1888.25     148.21     -58.10    -452.18      12.63
C18-180       1889.50    1890.00    1889.75     148.46     -58.97    -457.78      13.98
c18-182       1890.50    1891.00    1890.75     148.64     -59.29    -460.12      14.20
C18-185       1892.00    1892.50    1892.25     148.90     -58.61    -455.60      13.28
C18-187       1893.00    1893.50    1893.25     149.07     -58.50    -453.76      14.24
C18-190       1894.50    1895.00    1894.75     149.32     -58.22    -452.00      13.76
C18-192       1895.50    1896.00    1895.75     149.49     -58.03    -452.18      12.06
C18-195       1897.00    1897.51    1897.26     149.74     -58.64    -456.56      12.56
C18-197       1898.00    1898.50    1898.25     149.91     -57.78    -450.87      11.37
C18-200       1899.50    1900.00    1899.75     150.16     -58.21    -452.71      12.97
C19-002       1900.50    1901.00    1900.75     150.34     -58.27    -452.21      13.95
C19-005       1902.00    1902.50    1902.25     150.65     -59.01    -459.12      12.96
C19-007       1903.00    1903.50    1903.25     150.88     -58.52    -454.25      13.91
B19-009       1904.00    1904.50    1904.25     151.10     -58.55    -455.64      12.78
C19-012       1905.50    1906.00    1905.75     151.43     -58.56    -455.82      12.67
BC19-015      1907.00    1907.50    1907.25     151.77     -58.62    -456.61      12.35
C19-017       1908.00    1908.50    1908.25     152.00     -58.47    -455.27      12.49
C19-020       1909.50    1910.00    1909.75     152.36     -59.10    -462.15      10.65
C19-022       1910.50    1911.00    1910.75     152.59     -58.93    -458.06      13.39
C19-025       1912.00    1912.50    1912.25     152.95     -59.11    -458.69      14.19
