ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C01-139        182.57     183.07     182.82       5.52     -55.95    -431.83      15.77
C01-149        187.54     188.06     187.80       5.70     -54.41    -422.28      13.00
C01-155        190.56     191.04     190.80       5.82     -55.80    -433.73      12.68
C01-161        193.54     194.04     193.79       5.93     -54.58    -422.65      13.99
C01-165        195.54     196.04     195.79       6.00     -55.38    -428.53      14.51
C01-171        198.58     199.08     198.83       6.11     -55.77    -429.96      16.20
C02-002        200.58     201.08     200.83       6.18     -54.73    -423.42      14.42
C02-006        202.58     203.08     202.83       6.26     -55.02    -426.64      13.52
C02-012        205.53     206.03     205.78       6.36     -55.21    -428.46      13.22
C02-018        208.53     209.03     208.78       6.46     -54.60    -425.73      11.07
C02-022        210.53     211.03     210.78       6.54     -54.45    -422.60      12.97
C02-026        212.53     213.03     212.78       6.61     -53.89    -419.10      12.02
C02-030        214.53     215.03     214.78       6.68     -54.98    -425.82      14.02
C02-036        217.53     218.03     217.78       6.79     -55.31    -429.32      13.16
C02-042        220.51     221.01     220.76       6.90     -54.13    -420.61      12.43
C02-048        223.51     224.01     223.76       7.01     -54.75    -422.54      15.46
C02-052        225.51     226.01     225.76       7.08     -55.16    -427.56      13.72
C02-056        227.51     228.01     227.76       7.16     -55.35    -429.48      13.33
C02-062        230.51     231.01     230.76       7.27     -54.81    -424.22      14.26
C02-068        233.51     234.01     233.76       7.38     -53.69    -415.70      13.82
C02-072        235.51     236.01     235.76       7.45     -55.36    -429.07      13.81
C02-078        238.51     239.01     238.76       7.56     -54.95    -425.58      14.02
C02-082        240.51     241.01     240.76       7.64     -54.70    -423.34      14.26
C02-086        242.51     243.01     242.76       7.71     -55.95    -433.36      14.24
C02-090        244.51     245.01     244.76       7.79     -54.34    -420.90      13.82
C02-096        247.52     248.02     247.77       7.89     -54.79    -424.89      13.44
C02-100        249.52     250.02     249.77       7.97     -54.02    -421.32      10.84
C02-106        252.52     253.02     252.77       8.08     -54.50    -422.85      13.15
C02-110        254.52     255.02     254.77       8.15     -54.29    -421.97      12.35
C02-114        256.49     256.99     256.74       8.22     -55.82    -434.16      12.40
C02-120        259.49     259.99     259.74       8.33     -56.01    -432.60      15.48
C02-126        262.49     262.99     262.74       8.45     -54.45    -422.40      13.20
C02-130        264.49     264.94     264.72       8.52     -53.97    -418.33      13.43
C02-134        266.45     266.95     266.70       8.59     -55.70    -430.45      15.15
02-136         267.45     267.95     267.70       8.63     -54.06    -420.61      11.89
C02-140        269.45     269.95     269.70       8.70     -54.88    -426.64      12.40
C02-144        271.45     271.95     271.70       8.78     -55.10    -426.92      13.88
C02-150        274.45     274.95     274.70       8.89     -55.13    -427.29      13.75
C02-154        276.46     276.96     276.71       8.96     -54.60    -422.45      14.35
C02-160        279.46     279.96     279.71       9.07     -54.21    -419.09      14.59
C02-166        282.46     282.96     282.71       9.18     -55.08    -428.28      12.36
C02-172        285.46     285.96     285.71       9.28     -54.02    -418.83      13.33
C02-178        288.46     288.96     288.71       9.39     -54.39    -423.00      12.12
C02-180        289.46     289.96     289.71       9.43     -54.56    -423.61      12.87
C02-187        292.96     293.46     293.21       9.55     -54.40    -422.90      12.30
C02-191        294.96     295.46     295.21       9.62     -53.34    -414.24      12.48
C02-197        297.90     298.40     298.15       9.72     -53.91    -417.60      13.68
C02-201        299.90     300.40     300.15       9.79     -54.08    -418.77      13.87
03-004         301.90     302.40     302.15       9.87     -53.42    -414.16      13.21
C03-005        302.40     302.90     302.65       9.88     -54.28    -422.15      12.09
C03-010        304.90     305.40     305.15       9.97     -54.45    -423.13      12.47
C03-015        307.40     307.90     307.65      10.06     -53.95    -417.28      14.32
C03-020        309.90     310.40     310.15      10.15     -53.80    -416.71      13.69
C03-025        312.40     312.90     312.65      10.24     -53.87    -417.73      13.24
C03-030        314.90     315.40     315.15      10.32     -54.78    -424.57      13.67
C03-035        317.40     317.90     317.65      10.41     -52.99    -411.42      12.50
C03-040        319.90     320.40     320.15      10.50     -52.81    -410.41      12.07
C03-045        322.40     322.90     322.65      10.59     -53.71    -416.09      13.60
C03-049        324.40     324.90     324.65      10.66     -54.40    -422.16      13.04
B03-052        325.90     326.40     326.15      10.71     -53.72    -417.26      12.47
C03-055        327.40     327.90     327.65      10.76     -53.49    -415.57      12.35
C03-060        329.90     330.40     330.15      10.85     -53.81    -418.29      12.19
C03-065        332.40     332.90     332.65      10.94     -54.31    -421.35      13.13
C03-070        334.90     335.40     335.15      11.03     -53.91    -420.02      11.26
C03-075        337.38     337.88     337.63      11.12     -53.71    -417.58      12.10
C03-085        342.38     342.92     342.65      11.29     -53.28    -414.67      11.57
C03-090        344.92     345.42     345.17      11.38     -53.68    -416.65      12.79
C03-095        347.42     347.92     347.67      11.46     -53.92    -419.14      12.22
B03-104        351.92     352.42     352.17      11.63     -52.84    -412.05      10.70
C03-105        352.42     352.92     352.67      11.64     -54.93    -425.66      13.78
C03-110        354.92     355.41     355.17      11.74     -52.81    -411.95      10.53
C03-115        357.43     357.93     357.68      11.83     -54.28    -421.62      12.62
C03-125        362.44     362.94     362.69      12.01     -54.12    -420.22      12.74
C03-130        364.94     365.44     365.19      12.11     -54.85    -426.90      11.90
C03-135        367.44     367.94     367.69      12.21     -55.53    -430.58      13.66
C03-145        372.44     372.94     372.69      12.42     -55.43    -430.61      12.83
C03-150        374.96     375.46     375.21      12.53     -54.88    -428.28      10.76
B03-152        375.96     376.46     376.21      12.57     -55.20    -430.16      11.41
C03-155        377.46     377.96     377.71      12.63     -54.13    -421.73      11.31
C03-165        382.36     382.86     382.61      12.84     -55.96    -435.51      12.17
BC03-170       384.86     385.36     385.11      12.96     -56.60    -440.58      12.23
C03-175        387.31     387.81     387.56      13.07     -56.42    -438.13      13.23
C03-185        392.31     392.81     392.56      13.30     -55.26    -428.43      13.65
C03-190        394.81     395.31     395.06      13.42     -56.63    -439.57      13.47
C03-195        397.34     397.84     397.59      13.53     -56.28    -435.87      14.37
B04-002        400.84     401.34     401.09      13.69     -55.92    -435.41      11.97
B04-006        402.84     403.34     403.09      13.78     -56.13    -436.06      12.99
C04-010        404.84     405.34     405.09      13.87     -56.59    -440.71      12.01
C04-015        407.34     407.84     407.59      13.98     -56.41    -437.67      13.61
C04-030        414.85     415.35     415.10      14.32     -55.01    -428.23      11.85
C04-040        419.85     420.35     420.10      14.54     -56.44    -438.01      13.52
C04-045        422.35     422.85     422.60      14.65     -54.21    -422.76      10.92
BC04-050       424.85     425.35     425.10      14.77     -56.08    -437.54      11.09
C04-060        429.85     430.35     430.10      15.00     -55.68    -433.20      12.24
C04-065        432.35     432.85     432.60      15.12     -56.55    -440.12      12.28
C04-070        434.85     435.35     435.10      15.24     -56.64    -440.92      12.20
C04-075        437.35     437.85     437.60      15.37     -56.66    -440.91      12.38
C04-085        442.35     442.85     442.60      15.61     -56.52    -439.40      12.77
C04-090        444.85     445.35     445.10      15.73     -55.49    -431.52      12.40
B04-102        450.83     451.35     451.09      16.03     -56.33    -438.76      11.89
C04-105        452.35     452.85     452.60      16.11     -56.56    -439.84      12.65
C04-110        454.85     455.35     455.10      16.24     -57.23    -445.15      12.69
C04-115        457.35     457.85     457.60      16.38     -58.04    -451.76      12.56
C04-125        462.35     462.85     462.60      16.66     -57.49    -448.32      11.60
C04-130        464.85     465.38     465.11      16.80     -57.62    -450.21      10.75
C04-135        467.35     467.85     467.60      16.95     -59.21    -460.43      13.25
B04-142        470.85     471.35     471.10      17.18     -59.41    -462.09      13.17
C04-145        472.35     472.85     472.60      17.27     -58.54    -456.21      12.11
C04-150        474.85     475.35     475.10      17.42     -57.51    -449.00      11.08
B04-151        475.35     475.85     475.60      17.45     -57.73    -451.36      10.47
C04-155        477.35     477.85     477.60      17.58     -59.49    -460.17      15.75
B04-164        481.85     482.35     482.10      17.87     -59.49    -463.84      12.07
C04-165        482.35     482.85     482.60      17.91     -58.84    -458.53      12.19
C04-170        484.85     485.37     485.11      18.08     -59.13    -462.38      10.66
C04-175        487.35     487.85     487.60      18.25     -59.87    -465.86      13.10
C04-185        492.35     492.85     492.60      18.60     -59.25    -461.50      12.50
C04-190        494.85     495.35     495.10      18.77     -59.55    -464.47      11.93
C05-001        500.31     500.85     500.58      19.15     -58.67    -459.08      10.28
C05-006        502.85     503.35     503.10      19.33     -59.86    -467.47      11.41
B05-007        503.35     503.85     503.60      19.37     -59.92    -466.78      12.57
C05-015        507.31     507.83     507.57      19.65     -59.56    -464.63      11.85
C05-020        509.83     510.33     510.08      19.83     -59.77    -466.00      12.16
C05-024        511.83     512.33     512.08      19.97     -58.58    -455.71      12.93
C05-031        515.33     515.83     515.58      20.22     -59.54    -462.79      13.53
